cu_id,cu_name,stream_id,stream_name,major_drainage,watershed_code,parkinson_cu,tautz_cu,phylogenetic_group,run_timing_full.x,run_timing,OBJECTID,parkinson2005cu,run_timing_full.y,COL_H,latitude,longitude,coord_certainty,comments_alternate,coord_source
280,Upper Skeena Headwaters,9706,DUTI RIVER,Skeena,4.01E+08,Skeena  Summer,Upper Skeena Headwaters,North Coast,Interior Summer,IS,45,Skeena  Summer,Interior Summer,NA,56.94415763,-127.888514,H,NA,FWA Streams_Line_BC
280,Upper Skeena Headwaters,9707,KLUATANTAN RIVER,Skeena,400898600,Skeena  Summer,Upper Skeena Headwaters,North Coast,Interior Summer,IS,46,Skeena  Summer,Interior Summer,NA,57.01713547,-128.2156405,H,NA,FWA Streams_Line_BC
280,Upper Skeena Headwaters,9708,SUSTUT RIVER,Skeena,490,Skeena  Summer,Upper Skeena Headwaters,North Coast,Interior Summer,IS,59,Skeena  Summer,Interior Summer,NA,56.32746983,-127.2023541,H,NA,FWA Streams_Line_BC
280,Upper Skeena Headwaters,9709,BEAR RIVER,Skeena,490267900,Skeena  Summer,Upper Skeena Headwaters,North Coast,Interior Summer,NA,60,Skeena  Summer,Interior Summer,NA,56.04581019,-129.9218907,H,NA,FWA Streams_Line_BC
281,Upper Sustut,9712,UPPER SUSTUT RIVER,Skeena,NA,Skeena  Summer,Upper Sustut,North Coast,Interior Summer,NA,NA,NA,NA,NA,56.643523,-126.49908,H,KB,FISS
282,Upper Skeena,9713,KULDO CREEK,Skeena,400590300,Skeena  Summer,Upper Skeena,North Coast,Interior Summer,IS,41,Skeena  Summer,Interior Summer,NA,55.95587851,-128.1734037,H,NA,FWA Streams_Line_BC
282,Upper Skeena,9714,SICINTINE RIVER,Skeena,400636200,Skeena  Summer,Upper Skeena,North Coast,Interior Summer,IS,42,Skeena  Summer,Interior Summer,NA,56.16328566,-127.8441278,H,NA,FWA Streams_Line_BC
282,Upper Skeena,9715,SLAMGEESH RIVER,Skeena,400705300,Skeena  Summer,Upper Skeena,North Coast,Interior Summer,IS,43,Skeena  Summer,Interior Summer,NA,56.34485011,-127.8821918,H,NA,FWA Streams_Line_BC
282,Upper Skeena,9716,SQUINGULA RIVER,Skeena,400745600,Skeena  Summer,Upper Skeena,North Coast,Interior Summer,IS,44,Skeena  Summer,Interior Summer,NA,56.27939793,-127.3166216,H,NA,FWA Streams_Line_BC
283,Kispiox,9717,KISPIOX RIVER,Skeena,470,Skeena  Summer,Kispiox,North Coast,Interior Summer,IS,56,Skeena  Summer,Interior Summer,NA,55.55680749,-127.9224601,H,NA,FWA Streams_Line_BC
284,Babine,9718,BABINE RIVER,Skeena,480,Skeena  Summer,Babine,North Coast,Interior Summer,IS,57,Skeena  Summer,Interior Summer,NA,55.59964443,-127.1882383,H,NA,FWA Streams_Line_BC
284,Babine,9719,BABINE RIVER,Skeena,480,Skeena  Summer,Babine,North Coast,Interior Summer,IS,58,Skeena  Summer,Interior Summer,NA,55.59964443,-127.1882383,H,NA,FWA Streams_Line_BC
285,Middle Skeena,9720,KITWANGA RIVER,Skeena,400364900,Skeena  Summer,Middle Skeena,North Coast,Interior Summer,IS,39,Skeena  Summer,Interior Summer,NA,55.12023617,-128.0292238,H,NA,FWA Streams_Line_BC
285,Middle Skeena,9721,SHEGUNIA RIVER,Skeena,400455200,Skeena  Summer,Middle Skeena,North Coast,Interior Summer,IS,40,Skeena  Summer,Interior Summer,NA,55.38174925,-127.4338548,H,NA,FWA Streams_Line_BC
285,Middle Skeena,9722,KITSEGUECLA RIVER,Skeena,450,Skeena  Summer,Middle Skeena,North Coast,Interior Summer,IS,51,Skeena  Summer,Interior Summer,NA,55.08609819,-127.779344,H,NA,FWA Streams_Line_BC
286,Suskwa,9723,SUSKWA RIVER,Skeena,460081700,Skeena  Summer,Suskwa,North Coast,Interior Summer,IS,53,Skeena  Summer,Interior Summer,NA,55.28562721,-127.2005816,H,NA,FWA Streams_Line_BC
287,Bulkley,9724,BULKLEY RIVER,Skeena,460,Skeena  Summer,Bulkley,North Coast,Interior Summer,IS,52,Skeena  Summer,Interior Summer,NA,54.94184038,-127.3248239,H,NA,FWA Streams_Line_BC
287,Bulkley,10273,TOBOGGAN CREEK,Skeena,460,Skeena  Summer,Bulkley,North Coast,Interior Summer,IS,,Skeena  Summer,Interior Summer,NA,54.931604,-127.300022,H,"added stream manually, survey counts seperate from bulkley",CA check
288,Skeena Coastal Summers,9725,ZYMAGOTITZ RIVER,Skeena,400184200,Skeena Winter,Coastal Summers,North Coast,Winter,NA,35,Skeena Winter,Winter,NA,54.54058943,-128.7999115,H,NA,FWA Streams_Line_BC
288,Skeena Coastal Summers,9726,KLEANZA CREEK,Skeena,400231800,Skeena  Summer,Coastal Summers,North Coast,Interior Summer,IS,36,Skeena  Summer,Interior Summer,NA,54.56674915,-128.2710712,H,NA,FWA Streams_Line_BC
288,Skeena Coastal Summers,9727,FIDDLER CREEK,Skeena,400296800,Skeena  Summer,Coastal Summers,North Coast,Interior Summer,IS,37,Skeena  Summer,Interior Summer,NA,54.83581732,-128.4617753,H,NA,FWA Streams_Line_BC
288,Skeena Coastal Summers,9728,INSECT CREEK,Skeena,400324400,Skeena  Summer,Coastal Summers,North Coast,Interior Summer,IS,38,Skeena  Summer,Interior Summer,NA,55.01621907,-128.4061986,H,NA,FWA Streams_Line_BC
288,Skeena Coastal Summers,9729,LAKELSE RIVER,Skeena,420,Skeena  Summer,Coastal Summers,North Coast,Interior Summer,W IS,48,Skeena  Summer,Interior Summer,NA,54.42326606,-128.6909735,H,NA,FWA Streams_Line_BC
288,Skeena Coastal Summers,9730,KITSUMKALUM RIVER,Skeena,430,Skeena  Summer,Coastal Summers,North Coast,Interior Summer,W IS,49,Skeena  Summer,Interior Summer,NA,54.85343876,-129.0918451,H,NA,FWA Streams_Line_BC
288,Skeena Coastal Summers,9731,ZYMOETZ RIVER,Skeena,440,Skeena  Summer,Coastal Summers,North Coast,Interior Summer,IS,50,Skeena  Summer,Interior Summer,NA,54.46440391,-128.196785,H,NA,FWA Streams_Line_BC
289,Morice,9732,TELKWA RIVER,Skeena,460422700,Skeena  Summer,Morice,North Coast,Interior Summer,IS,54,Skeena  Summer,Interior Summer,NA,54.65127826,-127.1914575,H,NA,FWA Streams_Line_BC
289,Morice,9733,MORICE RIVER,Skeena,460600600,Skeena  Summer,Morice,North Coast,Interior Summer,IS,55,Skeena  Summer,Interior Summer,NA,54.19065459,-127.0835508,H,NA,FWA Streams_Line_BC
290,Skeena Coastal Winters,9734,ECSTALL RIVER,Skeena,400016500,Skeena Winter,Coastal Winters,North Coast,Winter,NA,28,Skeena Winter,Winter,NA,54.00053846,-129.7862131,H,NA,FWA Streams_Line_BC
290,Skeena Coastal Winters,9735,KHYEX RIVER,Skeena,400036100,Skeena Winter,Coastal Winters,North Coast,Winter,NA,29,Skeena Winter,Winter,NA,54.23756725,-129.7939374,H,NA,FWA Streams_Line_BC
290,Skeena Coastal Winters,9736,SCOTIA RIVER,Skeena,400057000,Skeena Winter,Coastal Winters,North Coast,Winter,NA,30,Skeena Winter,Winter,NA,54.15802839,-129.6365041,H,NA,FWA Streams_Line_BC
290,Skeena Coastal Winters,9737,KASIKS RIVER,Skeena,400093200,Skeena Winter,Coastal Winters,North Coast,Winter,NA,31,Skeena Winter,Winter,NA,54.33093528,-129.4487473,H,NA,FWA Streams_Line_BC
290,Skeena Coastal Winters,9738,GITNADOIX RIVER,Skeena,400113400,Skeena Winter,Coastal Winters,North Coast,Winter,NA,32,Skeena Winter,Winter,NA,54.20545794,-129.1856789,H,NA,FWA Streams_Line_BC
290,Skeena Coastal Winters,9739,EXSTEW RIVER,Skeena,400137400,Skeena Winter,Coastal Winters,North Coast,Winter,NA,33,Skeena Winter,Winter,NA,54.51630973,-129.195863,H,NA,FWA Streams_Line_BC
290,Skeena Coastal Winters,9740,SHAMES RIVER,Skeena,400157500,Skeena Winter,Coastal Winters,North Coast,Winter,NA,34,Skeena Winter,Winter,NA,54.46741711,-128.9376279,H,NA,FWA Streams_Line_BC
290,Skeena Coastal Winters,9741,EXCHAMSIKS RIVER,Skeena,410,Skeena Winter,Coastal Winters,North Coast,Winter,NA,47,Skeena Winter,Winter,NA,54.47736434,-129.5452927,H,NA,FWA Streams_Line_BC
480,Nass Summer,9742,Nass above Taylor exclud,Nass,500,Nass  Summer,NA,North Coast,Interior Summer,IS,61,Nass  Summer,Interior Summer,NA,56.33295,-128.7039,M,NA,ArcGIS world geocoding service
480,Nass Summer,9743,KSI SII AKS,Nass,500185700,Nass  Summer,NA,North Coast,Interior Summer,W IS,67,Nass  Summer,Interior Summer,NA,55.221675,-129.105572,H,KB; name changed from TSEAX RIVER to KSI SII AKS by Katy,NuSEDs
480,Nass Summer,9744,SEASKINNISH CREEK,Nass,500201900,Nass  Summer,NA,North Coast,Interior Summer,IS,68,Nass  Summer,Interior Summer,NA,55.28286,-129.02037,M,NA,ArcGIS world geocoding service
480,Nass Summer,9745,TCHITIN RIVER,Nass,500271900,Nass  Summer,NA,North Coast,Interior Summer,IS,69,Nass  Summer,Interior Summer,NA,55.58505784,-129.1175877,H,NA,FWA Streams_Line_BC
480,Nass Summer,9746,KWINAGEESE RIVER,Nass,500571900,Nass  Summer,NA,North Coast,Interior Summer,IS,70,Nass  Summer,Interior Summer,NA,56.01289329,-128.7580768,H,NA,FWA Streams_Line_BC
480,Nass Summer,9747,CRANBERRY RIVER,Nass,530,Nass  Summer,NA,North Coast,Interior Summer,NA,72,Nass  Summer,Interior Summer,NA,55.55326089,-128.7055047,H,NA,FWA Streams_Line_BC
480,Nass Summer,9748,WHITE RIVER,Nass,540,Nass  Summer,NA,North Coast,Interior Summer,NA,73,Nass  Summer,Interior Summer,NA,55.88239385,-129.2825425,H,NA,FWA Streams_Line_BC
480,Nass Summer,9750,MEZIADIN RIVER,Nass,550,Nass  Summer,NA,North Coast,Interior Summer,NA,74,Nass  Summer,Interior Summer,NA,56.03650458,-129.1851747,H,NA,FWA Streams_Line_BC
480,Nass Summer,9751,BELL-IRVING RIVER,Nass,560,Nass  Summer,NA,North Coast,Interior Summer,NA,75,Nass  Summer,Interior Summer,NA,56.49253106,-129.4398657,H,NA,FWA Streams_Line_BC
480,Nass Summer,9752,TAYLOR RIVER,Nass,570,Nass  Summer,NA,North Coast,Interior Summer,NA,76,Nass  Summer,Interior Summer,NA,56.51691064,-128.9082101,H,NA,FWA Streams_Line_BC
480,Nass Summer,9754,DAMDOCHAX CREEK,Nass,580,Nass  Summer,NA,North Coast,Interior Summer,NA,77,Nass  Summer,Interior Summer,NA,56.52624071,-128.2341717,H,NA,FWA Streams_Line_BC
481,Nass Winter,9755,KSI GINGOLX,Nass,500002500,Nass Winter,NA,North Coast,Winter,NA,62,Nass Winter,Winter,NA,54.996369,-129.962681,M,KB; name changed from KINCOLITH RIVER to KSI GINGOLX by Katy,NuSEDs
481,Nass Winter,9756,Chambers,Nass,500009000,Nass Winter,NA,North Coast,Winter,NA,63,Nass Winter,Winter,NA,52.53316,-121.93609,M,NA,ArcGIS world geocoding service
481,Nass Winter,9757,IKNOUK RIVER,Nass,500030000,Nass Winter,NA,North Coast,Winter,NA,64,Nass Winter,Winter,NA,55.01624,-129.82026,M,NA,ArcGIS world geocoding service
481,Nass Winter,9758,KSEDIN CREEK,Nass,500112000,Nass Winter,NA,North Coast,Winter,NA,65,Nass Winter,Winter,NA,55.066677,-129.399888,L,CA,Google search
481,Nass Winter,9759,SHUMAL CREEK,Nass,500178600,Nass Winter,NA,North Coast,Winter,NA,66,Nass Winter,Winter,NA,55.216667,-129.149994,M,NA,Google search
481,Nass Winter,9760,ISHKHEENICKH RIVER,Nass,510,Nass Winter,NA,North Coast,Winter,NA,71,Nass Winter,Winter,NA,54.994446,-129.636108,L,NA,Google search
680,North Coast Winter,9761,TANKEEAH RIVER,North Coast,910463800,N. Coast Winter,NA,North Coast,Winter,NA,187,N. Coast Winter,Winter,NA,52.29963,-128.27001,M,NA,ArcGIS world geocoding service
680,North Coast Winter,9762,KAINET CREEK,North Coast,910500000,N. Coast Winter,NA,North Coast,Winter,NA,188,N. Coast Winter,Winter,NA,52.75630687,-127.8765613,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9763,MUSSEL RIVER,North Coast,910514200,N. Coast Winter,NA,North Coast,Winter,NA,189,N. Coast Winter,Winter,NA,52.98419163,-128.1032757,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9764,GREEN INLET CREEK,North Coast,9.11E+08,N. Coast Winter,NA,North Coast,Winter,NA,190,N. Coast Winter,Winter,NA,52.91631,-128.43667,M,NA,ArcGIS world geocoding service
680,North Coast Winter,9765,KHUTZE RIVER,North Coast,910545100,N. Coast Winter,NA,North Coast,Winter,NA,191,N. Coast Winter,Winter,NA,53.08305235,-128.3650353,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9766,AALTANHASH RIVER,North Coast,910550600,N. Coast Winter,NA,North Coast,Winter,NA,192,N. Coast Winter,Winter,NA,53.1691405,-128.4846529,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9767,KILTUISH RIVER,North Coast,910593300,N. Coast Winter,NA,North Coast,Winter,NA,194,N. Coast Winter,Winter,NA,53.29748927,-128.4356892,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9768,KOWESAS RIVER,North Coast,910608300,N. Coast Winter,NA,North Coast,Winter,NA,195,N. Coast Winter,Winter,NA,53.24006746,-128.1351868,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9769,KITLOPE RIVER,North Coast,910617600,N. Coast Winter,NA,North Coast,Winter,NA,196,N. Coast Winter,Winter,NA,53.16848094,-127.76123,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9770,TSAYTIS RIVER,North Coast,910618500,N. Coast Winter,NA,North Coast,Winter,NA,197,N. Coast Winter,Winter,NA,53.32651613,-127.7365102,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9771,KEMANO RIVER,North Coast,910627400,N. Coast Winter,NA,North Coast,Winter,NA,198,N. Coast Winter,Winter,NA,53.52594624,-127.9907302,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9772,BRIM RIVER,North Coast,910632400,N. Coast Winter,NA,North Coast,Winter,NA,199,N. Coast Winter,Winter,NA,53.51510685,-128.3625654,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9773,WEEWANIE CREEK,North Coast,9.11E+08,N. Coast Winter,NA,North Coast,Winter,NA,200,N. Coast Winter,Winter,NA,53.71245196,-128.710511,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9774,KILDALA RIVER,North Coast,9.11E+08,N. Coast Winter,NA,North Coast,Winter,NA,201,N. Coast Winter,Winter,NA,53.78141285,-128.2932595,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9775,DALA RIVER,North Coast,910661200,N. Coast Winter,NA,North Coast,Winter,NA,202,N. Coast Winter,Winter,NA,53.90923082,-128.3852495,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9776,WATHL CREEK,North Coast,910670400,N. Coast Winter,NA,North Coast,Winter,NA,203,N. Coast Winter,Winter,NA,53.97687923,-128.6468076,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9777,KITIMAT RIVER,North Coast,910673500,N. Coast Winter,NA,North Coast,Winter,NA,204,N. Coast Winter,Winter,NA,54.24339722,-128.4427411,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9778,GILTTOYEES CREEK,North Coast,910695400,N. Coast Winter,NA,North Coast,Winter,NA,206,N. Coast Winter,Winter,NA,53.94757918,-129.0769905,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9780,QUAAL RIVER,North Coast,910713900,N. Coast Winter,NA,North Coast,Winter,NA,209,N. Coast Winter,Winter,NA,53.65152399,-129.3446738,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9781,KEESIL CREEK,North Coast,910727100,N. Coast Winter,NA,North Coast,Winter,NA,210,N. Coast Winter,Winter,NA,53.44864,-129.239598,H,KB,NuSEDs
680,North Coast Winter,9782,KUMOWDAH RIVER,North Coast,910740100,N. Coast Winter,NA,North Coast,Winter,NA,211,N. Coast Winter,Winter,NA,53.56465907,-129.4363096,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9783,BRODIE LAKE CREEK,North Coast,910748900,N. Coast Winter,NA,North Coast,Winter,NA,212,N. Coast Winter,Winter,NA,53.66622,-129.70339,M,NA,ArcGIS world geocoding service
680,North Coast Winter,9784,KUMEALON CREEK,North Coast,910768900,N. Coast Winter,NA,North Coast,Winter,NA,213,N. Coast Winter,Winter,NA,53.8770326,-129.9670585,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9785,KLOIYA RIVER,North Coast,910791900,N. Coast Winter,NA,North Coast,Winter,NA,214,N. Coast Winter,Winter,NA,54.24152072,-130.1527862,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9786,SHAWATLAN RIVER,North Coast,910797600,N. Coast Winter,NA,North Coast,Winter,NA,215,N. Coast Winter,Winter,NA,54.34944,-130.22013,M,NA,ArcGIS world geocoding service
680,North Coast Winter,9787,LACHMACH RIVER,North Coast,910846300,N. Coast Winter,NA,North Coast,Winter,NA,216,N. Coast Winter,Winter,NA,54.29945,-129.9867,M,NA,ArcGIS world geocoding service
680,North Coast Winter,9788,TOON RIVER,North Coast,910855600,N. Coast Winter,NA,North Coast,Winter,NA,217,N. Coast Winter,Winter,NA,54.51468333,-129.9707146,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9789,ENSHESHESE RIVER,North Coast,910863100,N. Coast Winter,NA,North Coast,Winter,NA,218,N. Coast Winter,Winter,NA,54.51486974,-130.2100133,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9790,KHUTZEYMATEEN RIVER,North Coast,9.11E+08,N. Coast Winter,NA,North Coast,Winter,NA,219,N. Coast Winter,Winter,NA,54.63212411,-129.8557015,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9791,KWINAMASS RIVER,North Coast,9.11E+08,N. Coast Winter,NA,North Coast,Winter,NA,220,N. Coast Winter,Winter,NA,54.77556,-130.14611,M,NA,ArcGIS world geocoding service
680,North Coast Winter,9792,STAGOO CREEK,North Coast,910919700,N. Coast Winter,NA,North Coast,Winter,NA,221,N. Coast Winter,Winter,NA,55.25048585,-129.6628362,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9793,KITSAULT RIVER,North Coast,910930200,N. Coast Winter,NA,North Coast,Winter,NA,222,N. Coast Winter,Winter,NA,55.48172711,-129.4820741,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9794,KSHWAN RIVER,North Coast,910941800,N. Coast Winter,NA,North Coast,Winter,NA,223,N. Coast Winter,Winter,NA,55.63049492,-129.7994265,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9795,BONANZA CREEK,North Coast,910949800,N. Coast Winter,NA,North Coast,Winter,NA,224,N. Coast Winter,Winter,NA,55.3901186,-129.8375205,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9799,BEAR RIVER,North Coast,910999400,N. Coast Winter,NA,North Coast,Winter,NA,225,N. Coast Winter,Winter,NA,56.04581019,-129.9218907,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9800,KISAMEET RIVER,North Coast,9.15E+13,N. Coast Winter,NA,North Coast,Winter,NA,226,N. Coast Winter,Winter,NA,51.96854723,-127.8657944,M,associated with lake not creek,Google Maps
680,North Coast Winter,9801,KADJUSDIS RIVER,North Coast,9.15E+13,N. Coast Winter,NA,North Coast,Winter,NA,227,N. Coast Winter,Winter,NA,52.152378,-128.043121,H,DFO Report indicates that SEL-19-24 CU is located at the system also.,NuSEDs
680,North Coast Winter,9802,KWAKWA CREEK,North Coast,9.15E+13,N. Coast Winter,NA,North Coast,Winter,NA,228,N. Coast Winter,Winter,NA,52.55310963,-128.6377797,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9803,SURF RIVER,North Coast,9.15E+13,N. Coast Winter,NA,North Coast,Winter,NA,229,N. Coast Winter,Winter,NA,53.11800401,-128.969921,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9804,WHALEN CREEK,North Coast,9.15E+13,N. Coast Winter,NA,North Coast,Winter,NA,230,N. Coast Winter,Winter,NA,53.24923814,-129.0659097,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9805,WALLER CREEK,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,232,N. Coast Winter,Winter,NA,53.34952,-130.12008,M,NA,ArcGIS world geocoding service
680,North Coast Winter,9806,BANKS LAKES CREEK,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,233,N. Coast Winter,Winter,NA,53.39952,-130.15338,L,associated with lake not creek,ArcGIS world geocoding service
680,North Coast Winter,9807,SOUTH BONILLA CREEK,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,234,N. Coast Winter,Winter,NA,53.508946,-130.299699,H,KB,FISS
680,North Coast Winter,9808,END HILL CREEK,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,235,N. Coast Winter,Winter,NA,53.593926,-130.362703,H,NA,NuSEDs
680,North Coast Winter,9809,KOORYET CREEK,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,236,N. Coast Winter,Winter,NA,53.34232717,-129.8920699,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9810,KEECHA CREEK,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,237,N. Coast Winter,Winter,NA,53.299999,-129.833328,M,NA,Google Search
680,North Coast Winter,9819,HEVENOR INLET CREEK,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,240,N. Coast Winter,Winter,NA,53.6495,-130.03667,M,NA,ArcGIS world geocoding service
680,North Coast Winter,9820,CAPTAIN COVE CREEK,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,241,N. Coast Winter,Winter,NA,53.811275,-130.168094,M,CA,ArcGIS world geocoding service
680,North Coast Winter,9821,PA-AAT RIVER,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,242,N. Coast Winter,Winter,NA,53.80348158,-130.009805,H,NA,FWA Streams_Line_BC
680,North Coast Winter,9822,SALTER LAKE CREEK,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,243,N. Coast Winter,Winter,NA,53.54953,-129.67009,M,NA,ArcGIS world geocoding service
680,North Coast Winter,9823,TSIMTACK LAKE CREEK,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,244,N. Coast Winter,Winter,NA,53.39956,-129.4701,M,NA,ArcGIS world geocoding service
680,North Coast Winter,9824,KESWAR CREEK,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,245,N. Coast Winter,Winter,NA,53.643583,-130.343249,L,Associated with FN IR of same name,Google Search
680,North Coast Winter,9825,USELESS CREEK,North Coast,9.16E+13,N. Coast Winter,NA,North Coast,Winter,NA,246,N. Coast Winter,Winter,NA,54.03276,-130.55339,M,NA,ArcGIS world geocoding service
680,North Coast Winter,10279,BISH CREEK,North Coast,910677700,N. Coast Winter,NA,North Coast,Winter,W CS,,N. Coast Winter,Winter,NA,53.94125745,-128.769774,H,"added manually after revisions to expand winter CUs to include rivers with winter and coastal summer runs - duplicate with corresponding summer cu, but with unique stream id",FWA Streams_Line_BC
680,North Coast Winter,10281,CANOONA RIVER,North Coast,9.15E+13,N. Coast Winter,NA,North Coast,Winter,W CS,,N. Coast Winter,Winter,NA,53.06011638,-128.6936315,H,"added manually after revisions to expand winter CUs to include rivers with winter and coastal summer runs - duplicate with corresponding summer cu, but with unique stream id",FWA Streams_Line_BC
681,North Coast Summer,9826,TRIUMPH RIVER,North Coast,910584500,N. Coast Summer,NA,North Coast,Summer,CS,193,N. Coast Summer,Summer,NA,53.4393452,-128.6847976,H,NA,FWA Streams_Line_BC
681,North Coast Summer,9827,BISH CREEK,North Coast,910677700,N. Coast Summer,NA,North Coast,Summer,W CS,205,N. Coast Summer,Summer,NA,53.94125745,-128.769774,H,NA,FWA Streams_Line_BC
681,North Coast Summer,9828,KITKIATA CREEK,North Coast,9.11E+08,N. Coast Summer,NA,North Coast,Summer,CS,208,N. Coast Summer,Summer,NA,53.65745745,-129.2883991,H,NA,FWA Streams_Line_BC
681,North Coast Summer,9829,CANOONA RIVER,North Coast,9.15E+13,N. Coast Summer,NA,North Coast,Summer,W CS,231,N. Coast Summer,Summer,NA,53.06011638,-128.6936315,H,NA,FWA Streams_Line_BC
682,Central Coast Winter,9830,TAKUSH RIVER,Central Coast,910012400,Cent. Coast Winter,NA,South North Transition,Winter,NA,162,Cent. Coast Winter,Winter,NA,51.22250173,-127.5549759,H,NA,FWA Streams_Line_BC
682,Central Coast Winter,9831,SMOKEHOUSE CREEK,Central Coast,910025600,Cent. Coast Winter,NA,South North Transition,Winter,NA,163,Cent. Coast Winter,Winter,NA,51.33256846,-126.99606,H,NA,FWA Streams_Line_BC
682,Central Coast Winter,9832,NEKITE RIVER,Central Coast,910041700,Cent. Coast Winter,NA,South North Transition,Winter,NA,164,Cent. Coast Winter,Winter,NA,51.41088588,-127.1001094,H,NA,FWA Streams_Line_BC
682,Central Coast Winter,9833,LOCKHART GORDON CREEK,Central Coast,910107400,Cent. Coast Winter,NA,South North Transition,Winter,NA,165,Cent. Coast Winter,Winter,NA,51.40938762,-127.2433564,H,NA,FWA Streams_Line_BC
