pse_region,species,cu_id,stream_id,cu_name,stream_name,brood_year,adult_spawners,sport_fishing_mortalities,annual_bycatch_fishing_mortality_rate,pre_fishery_abundance,age_4,age_5,age_6,age_7,age_8,sample_size,total_adult_recruitment,data_source,note
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1977,NA,NA,NA,NA,0.01,0.77,0.2,0.01,0.01,96,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1978,1666,747,0.42,4182,0.05,0.78,0.13,0.04,0.01,165,6664,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1979,1666,581,0.42,3894,0,0.93,0.07,0,0,14,2839,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1980,952,1008,0.42,3398,0.38,0.62,0,0,0,21,10416,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1981,1247,661,0.42,3307,0,1,0,0,0,20,4593,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1982,1190,959,0.42,3725,0,0.97,0.03,0,0,35,2924,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1983,2857,1032,0.42,6740,0,0.95,0.05,0,0,100,3742,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1984,1120,839,0.42,3395,0.15,0.77,0.08,0,0,143,3359,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1985,3510,1350,0.42,8423,0.03,0.95,0.03,0,0,37,2098,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1986,2330,1142,0.42,6018,0.02,0.66,0.32,0,0,50,2180,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1987,1680,81,0.42,3052,0,0.89,0.11,0,0,38,1980,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1988,1500,559,0.42,3569,0.06,0.9,0.02,0.02,0,49,4223,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1989,1670,268,0.42,3358,0,0.84,0.16,0,0,50,4254,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1990,1200,78,0.42,2215,0.02,0.84,0.14,0,0,215,3842,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1991,1200,36,0.42,2143,0,0.89,0.11,0,0,79,1434,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1992,900,37,0.42,1623,0,0.89,0.11,0,0,65,3367,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1993,2960,130,0.29,4346,0,0.89,0.09,0.02,0,66,2152,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1994,2660,129,0.24,3690,0,0.89,0.07,0.04,0,27,3244,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1995,2590,134,0.43,4741,0,0.78,0.21,0.01,0,73,1489,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1996,1020,70,0.34,1644,0.04,0.87,0.09,0,0,47,2414,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1997,3000,115,0.11,3498,0.06,0.94,0,0,0,78,3233,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1998,1470,99,0.23,2041,0.06,0.93,0.01,0,0,89,1728,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,1999,2520,54,0.11,2903,0.03,0.97,0,0,0,91,1247,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2000,1500,37,0.09,1698,0.04,0.75,0.19,0.01,0,69,3376,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2001,1810,37,0.06,1968,0,0.96,0.04,0,0,48,1627,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2002,3160,75,0.1,3604,NA,NA,NA,NA,NA,NA,944,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2003,1480,34,0.14,1758,NA,NA,NA,NA,NA,NA,1247,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2004,950,14,0.15,1128,NA,NA,NA,NA,NA,NA,825,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2005,2440,26,0.21,3130,0,0.92,0.08,0,0,51,526,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2006,1660,34,0.12,1925,0,0.76,0.24,0,0,51,725,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2007,740,19,0.16,907,0.02,0.83,0.14,0,0,42,1510,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2008,1160,19,0.11,1317,0.04,0.81,0.13,0.02,0,53,1141,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2009,690,0,0.07,743,0.02,0.75,0.21,0.02,0,52,1732,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2010,590,20,0.1,678,0.06,0.63,0.31,0,0,48,971,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2011,520,0,0.1,578,0.02,0.83,0.13,0.01,0,,376,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2012,1000,28,0.2,1285,NA,NA,NA,NA,NA,NA,318,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2013,1090,34,0.11,1267,0.02,0.61,0.33,0.04,0,57,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2014,1300,23,0.25,1764,0.04,0.83,0.13,0,0,54,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2015,850,14,0.24,1136,0,0.71,0.21,0.08,0,38,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2016,360,2,0.2,452,0.05,0.74,0.21,0,0,43,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2017,260,1,0.2,327,NA,NA,NA,NA,NA,NA,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2018,150,1,0.2,184,NA,NA,NA,NA,NA,NA,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
fraser,SH,781,9860,Thompson Summer,THOMPSON RIVER,2019,240,NA,265,NA,NA,NA,NA,NA,NA,NA,NA,"COSEWIC 2020 ""COSEWIC Assessment and Status Report on the Steelhead Tout Oncorhynchus mykiss Thompson River Population Chilcotin River Population in Canada"" Appendix 2",total_adult_recruitment = Estimated size of the brood year production including returns over multiple years from the spawning in the given year.
