pse_region,species,cu_id,cu_name,stream_id,stream_name,survey_stream_name ,year,run,age-0+_pop_est,age-0+_95CI,age1_pop_est,age-1+_95CI,method,lat,long,data_source,data_source_link,note
columbia,SH,1380,Mid Columbia Summer,10271,Inkaneep Creek,Inkaneep Creek,2016,summer,21304,7284,2200,1457,Electrofishing,49.072511,-119.503958,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,10271,Inkaneep Creek,Inkaneep Creek,2017,summer,2327,1480,4556,2368,Electrofishing,49.072511,-119.503958,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,10271,Inkaneep Creek,Inkaneep Creek,2018,summer,30936,6139,149,56,Electrofishing,49.072511,-119.503958,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,10271,Inkaneep Creek,Inkaneep Creek,2019,summer,19856,2720,4351,452,Electrofishing,49.072511,-119.503958,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,10271,Inkaneep Creek,Inkaneep Creek,2020,summer,14450,2810,3333,311,Electrofishing,49.072511,-119.503958,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,10271,Inkaneep Creek,Inkaneep Creek,2021,summer,NA,NA,1211,319,Electrofishing,49.072511,-119.503958,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Vaseux Creek,2018,summer,3543,1351,3588,1405,Electrofishing,49.244283,-119.529293,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Vaseux Creek,2019,summer,8630,4274,3424,978,Electrofishing,49.244283,-119.529293,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Vaseux Creek,2020,summer,16998,6514,6374,2693,Electrofishing,49.244283,-119.529293,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Vaseux Creek,2021,summer,10312,3291,3110,1120,Electrofishing,49.244283,-119.529293,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Shuttleworth Creek,2016,summer,9207,2190,3314,1165,Electrofishing,49.334546,-119.582174,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Shuttleworth Creek,2017,summer,16078,7211,2658,798,Electrofishing,49.334546,-119.582174,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Shuttleworth Creek,2018,summer,18239,3703,3696,776,Electrofishing,49.334546,-119.582174,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Shuttleworth Creek,2019,summer,17459,1786,10830,981,Electrofishing,49.334546,-119.582174,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Shuttleworth Creek,2020,summer,19286,2247,4906,828,Electrofishing,49.334546,-119.582174,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Shuttleworth Creek,2021,summer,8796,8895,1261,404,Electrofishing,49.334546,-119.582174,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Lower Shingle Creek,2016,summer,15293,7485,6532,3322,Electrofishing,49.479925,-119.60074,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Lower Shingle Creek,2017,summer,7112,4639,13515,6622,Electrofishing,49.479925,-119.60074,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Lower Shingle Creek,2018,summer,2399,1286,8136,1125,Electrofishing,49.479925,-119.60074,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Lower Shingle Creek,2019,summer,846,655,6284,3277,Electrofishing,49.479925,-119.60074,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Lower Shingle Creek,2020,summer,686,108,5679,715,Electrofishing,49.479925,-119.60074,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Lower Shingle Creek,2021,summer,1783,1629,2189,813,Electrofishing,49.479925,-119.60074,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Upper Shingle Creek,2016,summer,13989,9632,2797,1105,Electrofishing,49.482695,-119.738974,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Upper Shingle Creek,2017,summer,6593,1703,2286,366,Electrofishing,49.482695,-119.738974,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Upper Shingle Creek,2018,summer,8086,2748,5071,498,Electrofishing,49.482695,-119.738974,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Upper Shingle Creek,2019,summer,33297,10368,7169,1517,Electrofishing,49.482695,-119.738974,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Upper Shingle Creek,2020,summer,11560,1745,5930,528,Electrofishing,49.482695,-119.738974,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Upper Shingle Creek,2021,summer,NA,NA,1391,787,Electrofishing,49.482695,-119.738974,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Shatford Creek,2016,summer,53022,16235,4756,148309,Electrofishing,49.467738,-119.716774,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Shatford Creek,2017,summer,104611,30251,9465,3863,Electrofishing,49.467738,-119.716774,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Shatford Creek,2018,summer,14419,3427,4182,664,Electrofishing,49.467738,-119.716774,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Shatford Creek,2019,summer,53899,11865,3718,839,Electrofishing,49.467738,-119.716774,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Shatford Creek,2020,summer,33625,5206,8460,916,Electrofishing,49.467738,-119.716774,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss
columbia,SH,1380,Mid Columbia Summer,NA,NA,Shatford Creek,2021,summer,21953,5490,3770,3583,Electrofishing,49.467738,-119.716774,"OBMEP 2022 "" Okanogan Basin Monitoring and Evaluation Program, 2021 Annual Progress Report"" Table B-1 & B-2",,estimates of natural origin juvenile O. mykiss